사업유형,사업번호,사업계획변경순번,사업년도,사업명,심사상태코드,최초심의일자,심의요청일,심의종료일,삭제여부
공익활동형,2023-10566,3,2023,"탄소중립""0""(제로)사업단-(음성형)",승인완료,2023-09-04 00:00,2022-12-16 00:00,2022-12-19 00:00,N
사회서비스형,2023-54064,4,2023,행복 노후 지원 사업단,변경심사요청,2023-10-05 00:00,2023-10-05 00:00,2023-03-02 00:00,N
시장형,2023-20460,5,2023,매장운영사업,승인완료,2023-08-01 00:00,2023-05-02 00:00,2023-01-13 00:00,N
사회서비스형,2023-29416,1,2023,시니어프로듀서,승인완료,2023-04-26 00:00,2023-04-26 00:00,2023-04-26 00:00,N
사회서비스형,2023-86235,1,2023,생명사랑지킴이,승인완료,2023-08-22 00:00,2023-08-22 00:00,2023-08-23 00:00,N
시장형,2023-66862,2,2023,서원상회,승인완료,2023-04-11 00:00,2023-04-11 00:00,2023-04-24 00:00,N
사회서비스형,2023-11081,2,2023,복지시설 지원,승인완료,2023-01-03 00:00,2023-01-03 00:00,2022-12-23 00:00,N
공익활동형,2023-11556,4,2023,공공의료 및 복지시설봉사활동,승인완료,2023-01-18 00:00,2023-01-16 00:00,2022-12-23 00:00,N
사회서비스형,2023-74588,1,2023,강서보행약자지킴이,승인완료,2023-05-31 00:00,2023-05-31 00:00,2023-05-31 00:00,N
시장형,2023-80769,1,2023,카페우정(도내기샘 체육센터점),승인완료,2023-07-06 00:00,2023-07-06 00:00,2023-07-10 00:00,N
시장형,2023-82812,2,2023,손뜨개사업,승인완료,2023-07-25 00:00,2023-07-25 00:00,2023-08-04 00:00,N
공익활동형,2023-25547,1,2023,우리동네수호천사사업단,승인완료,2023-01-12 00:00,2023-01-12 00:00,2023-01-16 00:00,N
사회서비스형,2023-10897,2,2023,노인일자리 담당자 업무지원사업,승인완료,2022-12-16 00:00,2022-12-16 00:00,2022-12-16 00:00,N
시장형,2023-90469,1,2023,마을꿈터공동작업장,승인완료,2023-09-20 00:00,2023-09-20 00:00,2023-09-26 00:00,N
공익활동형,2023-10644,2,2023,노-노큰나무교육강사,승인완료,2022-12-19 00:00,2022-12-19 00:00,2022-12-19 00:00,N
사회서비스형,2023-10694,2,2023,장애인시설지원사업,승인완료,2022-12-16 00:00,2022-12-16 00:00,2022-12-16 00:00,N
공익활동형,2023-10728,1,2023,지역아동센터봉사,승인완료,2022-12-15 00:00,2022-12-15 00:00,2022-12-15 00:00,N
공익활동형,2023-74174,1,2023,불법촬영제로사업,승인완료,2023-06-01 00:00,2023-06-01 00:00,2023-06-07 00:00,N
사회서비스형,2023-11093,2,2023,우체국행정업무지원,승인완료,2022-12-21 00:00,2022-12-21 00:00,2022-12-22 00:00,N
사회서비스형,2023-21818,3,2023,시니어공익증진지원사업,승인완료,2023-09-11 00:00,2023-08-29 00:00,2023-01-10 00:00,N
공익활동형,2023-11088,6,2023,깨끗한 경로당 만들기,승인완료,2023-02-21 00:00,2023-02-17 00:00,2022-12-16 00:00,N
시장형,2023-38577,4,2023,은빛공방,승인완료,2023-03-02 00:00,2023-03-02 00:00,2023-03-02 00:00,N
사회서비스형,2023-10876,3,2023,시니어소방안전지킴이,승인완료,2022-12-16 00:00,2022-12-16 00:00,2022-12-16 00:00,N
시장형,2023-11156,1,2023,"디저트 및 도시락, 밀키트 제조, 판매(건찬맛찬)",승인완료,2022-12-16 00:00,2022-12-16 00:00,2022-12-20 00:00,N
사회서비스형,2023-27890,1,2023,시니어 승강기안전단,승인완료,2023-01-14 00:00,2023-01-14 00:00,2023-02-03 00:00,N
시장형,2023-11682,2,2023,결성신리 공동작업장,승인완료,2023-07-26 00:00,2023-07-24 00:00,2022-12-29 00:00,N
공익활동형,2023-10789,3,2023,학교급식지원사업,승인완료,2023-08-09 00:00,2022-12-15 00:00,2022-12-26 00:00,N
공익활동형,2023-10731,1,2023,복지시설관리지원,승인완료,2022-12-15 00:00,2022-12-15 00:00,2022-12-16 00:00,N
공익활동형,2023-10929,2,2023,무료급식소 봉사,삭제요청,2023-01-26 00:00,2022-12-16 00:00,2022-12-16 00:00,Y
공익활동형,2023-11335,1,2023,거리환경지킴이,승인완료,2022-12-20 00:00,2022-12-20 00:00,2022-12-20 00:00,N
공익활동형,2023-17426,1,2023,수성환경지킴이사업,승인완료,2023-01-06 00:00,2023-01-06 00:00,2023-01-06 00:00,N
사회서비스형,2023-37486,2,2023,아동 보육 시설 관리지원 사업,승인완료,2023-01-30 00:00,2023-01-30 00:00,2023-01-31 00:00,N
공익활동형,2023-20405,2,2023,클린깔끄미(기회확대),승인완료,2023-06-27 00:00,2023-01-09 00:00,2023-01-10 00:00,N
사회서비스형,2023-11659,3,2023,스마트경로당지원,승인완료,2023-06-27 00:00,2022-12-28 00:00,2022-12-28 00:00,N
공익활동형,2023-11449,2,2023,노노케어활동,변경심사요청,2023-10-06 00:00,2023-10-06 00:00,2022-12-26 00:00,N
사회서비스형,2023-11488,1,2023,더불어 함께,승인완료,2022-12-21 00:00,2022-12-21 00:00,2022-12-24 00:00,N
공익활동형,2023-16909,1,2023,우리동네안전지킴이(기회),승인완료,2023-01-05 00:00,2023-01-05 00:00,2023-01-09 00:00,N
시장형,2023-11731,2,2023,장수밥상,승인완료,2022-12-30 00:00,2022-12-30 00:00,2022-12-30 00:00,N
사회서비스형,2023-21783,3,2023,주거취약계층소방안전시설설치사업,승인완료,2023-09-18 00:00,2023-09-06 00:00,2023-01-10 00:00,N
공익활동형,2023-10995,2,2023,경로당시설관리,승인완료,2022-12-19 00:00,2022-12-19 00:00,2022-12-20 00:00,N
사회서비스형,2023-10939,2,2023,청소년시설지원,승인완료,2022-12-16 00:00,2022-12-16 00:00,2022-12-19 00:00,N
공익활동형,2023-35054,1,2023,주차계도 및 주차장관리,승인완료,2023-01-25 00:00,2023-01-25 00:00,2023-01-25 00:00,N
공익활동형,2023-70039,2,2023,하천환경가꾸기(기회),승인완료,2023-04-28 00:00,2023-04-28 00:00,2023-04-28 00:00,N
공익활동형,2023-11722,3,2023,경로당 관리봉사,승인완료,2023-07-24 00:00,2023-02-08 00:00,2022-12-29 00:00,N
시장형,2023-28995,2,2023,야생화 및 채소농장 재배관리사업,승인완료,2023-01-26 00:00,2023-01-26 00:00,2023-02-02 00:00,N
사회서비스형,2023-74282,1,2023,보행로 정보수집 전문가,승인완료,2023-05-26 00:00,2023-05-26 00:00,2023-05-26 00:00,N
공익활동형,2023-43956,2,2023,에코플러스(쓰레기분리배출안내지원사업),승인완료,2023-02-02 00:00,2023-02-02 00:00,2023-02-02 00:00,N
공익활동형,2023-54534,1,2023,등하교스쿨존사업(기회),승인완료,2023-02-24 00:00,2023-02-24 00:00,2023-02-27 00:00,N
사회서비스형,2023-75032,2,2023,어르신리더 시범사업,승인완료,2023-08-02 00:00,2023-05-30 00:00,2023-05-31 00:00,N
공익활동형,2023-19857,2,2023,시가지환경정비활동,승인완료,2023-01-11 00:00,2023-01-11 00:00,2023-01-11 00:00,N
공익활동형,2023-47648,1,2023,2023년 하남시종합사회복지관 도시락지원(기회),승인완료,2023-02-09 00:00,2023-02-09 00:00,2023-02-21 00:00,N
공익활동형,2023-11540,3,2023,무료급식지원사업,승인완료,2023-01-11 00:00,2023-01-10 00:00,2022-12-23 00:00,N
공익활동형,2023-15205,1,2023,공원환경봉사(기회),승인완료,2023-01-05 00:00,2023-01-05 00:00,2023-01-09 00:00,N
공익활동형,2023-24415,3,2023,아이돌봄도우미,승인완료,2023-02-20 00:00,2023-02-20 00:00,2023-01-12 00:00,N
공익활동형,2023-32044,2,2023,커피찌꺼기새활용사업단,승인완료,2023-05-22 00:00,2023-05-18 00:00,2023-01-20 00:00,N
사회서비스형,2023-77129,1,2023,키오스크도우미,승인완료,2023-06-13 00:00,2023-06-13 00:00,2023-06-13 00:00,N
사회서비스형,2023-17976,1,2023,시니어디지털지원단,승인완료,2023-01-06 00:00,2023-01-06 00:00,2023-01-06 00:00,Y
공익활동형,2023-84576,1,2023,학교급식도우미사업,승인완료,2023-08-02 00:00,2023-08-02 00:00,2023-08-03 00:00,N
시장형,2023-10806,5,2023,실버카페해미일사업,변경심사요청,2023-09-13 00:00,2023-09-13 00:00,2022-12-22 00:00,N
사회서비스형,2023-11755,2,2023,친구야 학교가자(교육시설학습보조지원사업),승인완료,2023-08-23 00:00,2022-12-30 00:00,2023-01-02 00:00,N
사회서비스형,2023-37475,4,2023,시니어 소방안전 지원사업,삭제요청,2023-02-02 00:00,2023-02-01 00:00,2023-01-30 00:00,Y
사회서비스형,2023-11719,1,2023,도움드리,승인완료,2023-01-03 00:00,2023-01-03 00:00,2023-01-03 00:00,N
사회서비스형,2023-76171,1,2023,스마트 홍보단 '복지온',승인완료,2023-06-13 00:00,2023-06-13 00:00,2023-06-19 00:00,N
시장형,2023-76480,2,2023,GS25 창녕시니어점,승인완료,2023-06-12 00:00,2023-06-12 00:00,2023-06-13 00:00,N
공익활동형,2023-76593,1,2023,녹색환경(종이팩재활용활성화) Ⅱ 사업단 (40),승인완료,2023-06-12 00:00,2023-06-12 00:00,2023-06-12 00:00,N
공익활동형,2023-11168,2,2023,노노케어,승인완료,2023-01-04 00:00,2022-12-16 00:00,2022-12-22 00:00,N
공익활동형,2023-11455,2,2023,종이팩회수·재활용사업단,승인완료,2022-12-23 00:00,2022-12-23 00:00,2022-12-23 00:00,N
공익활동형,2023-22684,1,2023,학교환경지킴이,변경심사요청,2023-10-05 00:00,2023-10-05 00:00,2023-01-11 00:00,N
사회서비스형,2023-72579,2,2023,우리동네 건강지킴이 파견사업,승인완료,2023-05-18 00:00,2023-05-18 00:00,2023-05-22 00:00,N
사회서비스형,2023-44733,2,2023,시니어 푸드뱅크 매니저,승인완료,2023-06-12 00:00,2023-02-02 00:00,2023-02-06 00:00,N
사회서비스형,2023-11267,1,2023,노인시설지원,승인완료,2022-12-20 00:00,2022-12-20 00:00,2022-12-21 00:00,N
공익활동형,2023-11284,2,2023,공공자전거대여소따릉이사업,승인완료,2023-01-27 00:00,2023-01-27 00:00,2022-12-23 00:00,N
사회서비스형,2023-38063,1,2023,시니어 푸드뱅크 매니저,승인완료,2023-01-30 00:00,2023-01-30 00:00,2023-01-30 00:00,N
사회서비스형,2023-11592,6,2023,시니어 안전모니터링,승인완료,2023-05-18 00:00,2023-02-13 00:00,2022-12-26 00:00,N
공익활동형,2023-11141,3,2023,공공의료 및 복지시설 지원사업,삭제요청,2023-01-26 00:00,2022-12-20 00:00,2022-12-23 00:00,Y
공익활동형,2023-11506,1,2023,공공의료기관 및 복지시설 관리지원사업,승인완료,2022-12-22 00:00,2022-12-22 00:00,2022-12-22 00:00,N
시장형,2023-20902,3,2023,반찬 및 도시락 제조 및 판매(반찬 및 도시락 사업단),승인완료,2023-01-25 00:00,2023-01-25 00:00,2023-01-25 00:00,N
시장형,2023-11821,6,2023,바람꽃카페 웅상출장소점,승인완료,2023-05-23 00:00,2023-04-27 00:00,2023-01-04 00:00,N
사회서비스형,2023-11228,3,2023,노인복지시설 지원,승인완료,2023-02-22 00:00,2022-12-20 00:00,2022-12-20 00:00,N
공익활동형,2023-84368,1,2023,환경지킴이,승인완료,2023-08-01 00:00,2023-08-01 00:00,2023-08-01 00:00,N
공익활동형,2023-11145,1,2023,내고장바다지킴이,승인완료,2022-12-20 00:00,2022-12-20 00:00,2022-12-22 00:00,N
시장형,2023-11035,4,2023,구이 김 제조와 제품 및 반제품 생산·조달 사업(장터누리),승인완료,2023-07-05 00:00,2023-07-05 00:00,2022-12-28 00:00,N
공익활동형,2023-10673,1,2023,은빛자연숲놀이터지킴이,승인완료,2022-12-16 00:00,2022-12-16 00:00,2022-12-16 00:00,N
공익활동형,2023-11079,3,2023,김제유래조사단,승인완료,2023-06-19 00:00,2023-06-19 00:00,2022-12-19 00:00,N
공익활동형,2023-11082,2,2023,향토문화 가꿈이,승인완료,2023-06-07 00:00,2023-06-07 00:00,2022-12-16 00:00,N
공익활동형,2023-65501,1,2023,전기차충전소관리원사업,승인완료,2023-04-13 00:00,2023-04-13 00:00,2023-04-13 00:00,N
사회서비스형,2023-74824,1,2023,어르신 건강관리 트레이너 사업,승인완료,2023-05-30 00:00,2023-05-30 00:00,2023-06-01 00:00,N
시장형,2023-11008,1,2023,카이스트빨래방,조건부승인,2022-12-16 00:00,2022-12-16 00:00,,Y
시장형,2023-11247,2,2023,참새방앗간,승인완료,2022-12-27 00:00,2022-12-27 00:00,2022-12-28 00:00,N
공익활동형,2023-11369,1,2023,"사랑나눔, 도시락배달",승인완료,2022-12-20 00:00,2022-12-20 00:00,2022-12-22 00:00,N
사회서비스형,2023-64399,3,2023,취약계층 교육지원 서비스,승인완료,2023-03-30 00:00,2023-03-30 00:00,2023-03-30 00:00,N
사회서비스형,2023-10781,1,2023,시니어 금융업무 지원,승인완료,2022-12-15 00:00,2022-12-15 00:00,2022-12-15 00:00,N
공익활동형,2023-11207,3,2023,보육시설도우미,승인완료,2023-09-26 00:00,2023-09-25 00:00,2022-12-18 00:00,N
공익활동형,2023-10625,3,2023,깔끄미 사업단 경로당 봉사,승인완료,2022-12-15 00:00,2022-12-15 00:00,2022-12-15 00:00,N
사회서비스형,2023-11460,1,2023,장애인 시설지원(행복한 동행),승인완료,2022-12-21 00:00,2022-12-21 00:00,2022-12-23 00:00,N
사회서비스형,2023-69658,2,2023,평생건강가이드,승인완료,2023-08-22 00:00,2023-04-25 00:00,2023-04-26 00:00,N
사회서비스형,2023-11420,1,2023,재가노인복지시설지원사업,승인완료,2022-12-26 00:00,2022-12-26 00:00,2022-12-30 00:00,N
공익활동형,2023-11151,2,2023,동네사랑환경감시단,승인완료,2023-01-04 00:00,2022-12-16 00:00,2022-12-16 00:00,N
사회서비스형,2023-11259,3,2023,실버장애인돌봄 서포터즈,승인완료,2023-03-06 00:00,2022-12-19 00:00,2022-12-22 00:00,N
사회서비스형,2023-48279,1,2023,노인복지시설지원,승인완료,2023-02-10 00:00,2023-02-10 00:00,2023-02-10 00:00,N
사회서비스형,2023-37469,2,2023,노인일자리 방역 지원사업,삭제요청,2023-02-01 00:00,2023-01-27 00:00,2023-01-30 00:00,Y
공익활동형,2023-10700,4,2023,경로당 및 주변환경정비,승인완료,2023-05-31 00:00,2022-12-14 00:00,2022-12-14 00:00,N
사회서비스형,2023-11047,1,2023,시니어 광주공항지킴이,승인완료,2022-12-16 00:00,2022-12-16 00:00,2022-12-20 00:00,N
공익활동형,2023-10726,3,2023,"공원,놀이터 등 공공시설봉사",승인완료,2023-01-23 00:00,2022-12-15 00:00,2022-12-15 00:00,N
공익활동형,2023-10762,1,2023,공원환경정비봉사사업,승인완료,2022-12-20 00:00,2022-12-20 00:00,2022-12-20 00:00,N
공익활동형,2023-10671,5,2023,행복한동행,승인완료,2023-05-15 00:00,2022-12-16 00:00,2022-12-16 00:00,N
공익활동형,2023-11069,2,2023,동아리공동작업장,승인완료,2022-12-20 00:00,2022-12-20 00:00,2022-12-23 00:00,N
공익활동형,2023-11300,3,2023,스쿨존교통지킴이,승인완료,2023-01-27 00:00,2023-01-27 00:00,2022-12-27 00:00,N
공익활동형,2023-54524,1,2023,경로당복지도우미사업(기회),승인완료,2023-02-24 00:00,2023-02-24 00:00,2023-02-27 00:00,N
사회서비스형,2023-10656,1,2023,지니 헬프 사회서비스 ,승인완료,2022-12-15 00:00,2022-12-15 00:00,2022-12-19 00:00,N
시장형,2023-11027,2,2023,차량안전도우미(도담도담),승인완료,2022-12-28 00:00,2022-12-28 00:00,2022-12-28 00:00,N
사회서비스형,2023-26297,1,2023,(서울형)서울어르신 '샛강 지킴이'사업,승인완료,2023-01-17 00:00,2023-01-17 00:00,2023-01-18 00:00,N
공익활동형,2023-11325,1,2023,나래울 정류장 환경개선 활동(경기도 기회확대),승인완료,2022-12-20 00:00,2022-12-20 00:00,2022-12-20 00:00,N
사회서비스형,2023-11689,1,2023,(사회)사전연명의료의향서 상담사 지원사업,승인완료,2022-12-28 00:00,2022-12-28 00:00,2022-12-28 00:00,N
공익활동형,2023-11289,1,2023,쾌적한 밝은동네,승인완료,2022-12-19 00:00,2022-12-19 00:00,2022-12-19 00:00,N
사회서비스형,2023-11390,3,2023,늘찬도우미,승인완료,2022-12-29 00:00,2022-12-29 00:00,2022-12-29 00:00,N
공익활동형,2023-11309,2,2023,공공시설 봉사(공공지킴이),승인완료,2023-01-27 00:00,2023-01-27 00:00,2022-12-23 00:00,N
공익활동형,2023-11720,4,2023,문화재 및 유적지 지킴이,승인완료,2023-07-24 00:00,2023-02-14 00:00,2022-12-29 00:00,N
사회서비스형,2023-67307,1,2023,시니어 산림복지서비스 안전지기,승인완료,2023-04-25 00:00,2023-04-25 00:00,2023-04-25 00:00,N
공익활동형,2023-20637,2,2023,안심건강활동,변경심사요청,2023-10-06 00:00,2023-10-06 00:00,2023-01-12 00:00,N
공익활동형,2023-10716,5,2023,보육시설 봉사,승인완료,2023-01-04 00:00,2022-12-15 00:00,2022-12-15 00:00,N
공익활동형,2023-10959,1,2023,불법촬영감시단,변경심사요청,2023-09-18 00:00,2023-09-18 00:00,2022-12-20 00:00,N
공익활동형,2023-11310,1,2023,중림*만리 우리동네 환경마법사,승인완료,2022-12-19 00:00,2022-12-19 00:00,2022-12-23 00:00,N
시장형,2023-11482,1,2023,GS25편의점사업,승인완료,2022-12-21 00:00,2022-12-21 00:00,2022-12-22 00:00,N
사회서비스형,2023-11071,2,2023,보육시설 지원,승인완료,2023-01-03 00:00,2022-12-23 00:00,2022-12-23 00:00,N
시장형,2023-11511,2,2023,청소사업단,승인완료,2022-12-27 00:00,2022-12-27 00:00,2022-12-28 00:00,N
시장형,2023-85685,1,2023,2023년 강원도 특화형 어르신일자리 사업,반려,2023-08-16 00:00,2023-08-16 00:00,,N
공익활동형,2023-10683,3,2023,노노케어,승인완료,2023-06-08 00:00,2023-06-08 00:00,2022-12-16 00:00,N
시장형,2023-10585,5,2023,행복에너지,승인완료,2023-02-20 00:00,2023-02-14 00:00,2022-12-26 00:00,N
공익활동형,2023-11058,3,2023,지역아동센터 한문지도 및 환경정비,승인완료,2023-05-31 00:00,2023-01-16 00:00,2022-12-16 00:00,N
공익활동형,2023-11407,2,2023,보건소연계파견활동,승인완료,2023-06-20 00:00,2023-06-20 00:00,2022-12-23 00:00,N
공익활동형,2023-61300,2,2023,수직정원사업,승인완료,2023-04-03 00:00,2023-04-03 00:00,2023-04-03 00:00,N
시장형,2023-74044,1,2023,은빛영농,승인완료,2023-05-30 00:00,2023-05-30 00:00,2023-06-02 00:00,N
사회서비스형,2023-11166,2,2023,행복서포터즈,승인완료,2022-12-19 00:00,2022-12-19 00:00,2022-12-20 00:00,N
사회서비스형,2023-11612,2,2023,사전연명의료지원,승인완료,2023-02-22 00:00,2022-12-23 00:00,2022-12-24 00:00,N
공익활동형,2023-15834,2,2023,보성형 노인일자리(내동네 가꾸기),승인완료,2023-01-05 00:00,2023-01-05 00:00,2023-01-05 00:00,N
사회서비스형,2023-79783,1,2023,경로당 행복도우미사업,승인완료,2023-06-29 00:00,2023-06-29 00:00,2023-06-30 00:00,N
사회서비스형,2023-69327,1,2023,시니어 119안전센터 서포터,승인완료,2023-04-21 00:00,2023-04-21 00:00,2023-04-25 00:00,N
공익활동형,2023-10913,1,2023,깨끗하고방가운정류장만들기 사업단,변경심사요청,2023-09-18 00:00,2023-09-18 00:00,2022-12-20 00:00,N
사회서비스형,2023-11457,1,2023,공공기관도우미,승인완료,2022-12-28 00:00,2022-12-28 00:00,2022-12-30 00:00,N
공익활동형,2023-50153,1,2023,환경개선봉사2,승인완료,2023-02-15 00:00,2023-02-15 00:00,2023-02-17 00:00,N
공익활동형,2023-20602,3,2023,도시락 마음 이음이(기회),승인완료,2023-05-16 00:00,2023-01-09 00:00,2023-01-12 00:00,N
공익활동형,2023-10668,1,2023,은빛노인돌보미,승인완료,2022-12-16 00:00,2022-12-16 00:00,2022-12-16 00:00,N
사회서비스형,2023-11223,3,2023,다문화가족시설 지원,승인완료,2023-02-22 00:00,2022-12-20 00:00,2022-12-20 00:00,N
공익활동형,2023-37359,1,2023,주정차질서 계도지원활동,승인완료,2023-01-27 00:00,2023-01-27 00:00,2023-01-30 00:00,N
공익활동형,2023-61918,3,2023,새싹푸르미,승인완료,2023-07-18 00:00,2023-07-18 00:00,2023-03-22 00:00,N
공익활동형,2023-10921,1,2023,초등학교청결지킴이,승인완료,2022-12-29 00:00,2022-12-29 00:00,2022-12-30 00:00,N
공익활동형,2023-11118,1,2023,지역사회 환경개선(자체-평해읍),승인완료,2022-12-16 00:00,2022-12-16 00:00,2022-12-16 00:00,N
사회서비스형,2023-12949,2,2023,시니어승강기안전점검사업,삭제요청,2023-01-05 00:00,2023-01-02 00:00,2023-01-03 00:00,Y
공익활동형,2023-37343,2,2023,노-노케어,승인완료,2023-01-31 00:00,2023-01-31 00:00,2023-01-31 00:00,N
시장형,2023-10596,5,2023,다이나믹6070택배1호사업,승인완료,2023-08-31 00:00,2023-08-31 00:00,2022-12-16 00:00,N
사회서비스형,2023-11162,1,2023,육아서포터즈,승인완료,2022-12-16 00:00,2022-12-16 00:00,2022-12-21 00:00,N
시장형,2023-11250,4,2023,보랏빛향기,승인완료,2023-09-15 00:00,2023-09-15 00:00,2022-12-27 00:00,N
시장형,2023-64368,2,2023,먹태세상,승인완료,2023-03-30 00:00,2023-03-30 00:00,2023-03-31 00:00,N
공익활동형,2023-11101,2,2023,우리동네지킴이,승인완료,2023-06-13 00:00,2023-06-12 00:00,2022-12-20 00:00,N
사회서비스형,2023-11691,1,2023,(사회)장애인서비스 지원사업,승인완료,2022-12-28 00:00,2022-12-28 00:00,2022-12-28 00:00,N
시장형,2023-10853,4,2023,할머니정성맛집사업,승인완료,2023-06-30 00:00,2023-06-30 00:00,2023-01-03 00:00,N
공익활동형,2023-11190,4,2023,근린생활시설(공공시설)관리지원,승인완료,2023-03-27 00:00,2022-12-16 00:00,2022-12-19 00:00,N
공익활동형,2023-10907,2,2023,시니어 급식지원 활동(경기도 기회확대),승인완료,2023-02-15 00:00,2022-12-15 00:00,2022-12-19 00:00,N
공익활동형,2023-10963,1,2023,게이트볼 강사파견 지원사업,승인완료,2022-12-23 00:00,2022-12-23 00:00,2022-12-26 00:00,N
공익활동형,2023-11236,1,2023,스쿨존교통지원사업단1(기회),승인완료,2022-12-19 00:00,2022-12-19 00:00,2022-12-19 00:00,N
시장형,2023-10748,5,2023,여주콩,승인완료,2023-03-17 00:00,2023-03-13 00:00,2022-12-22 00:00,N
사회서비스형,2023-11551,2,2023,보육교사도우미,승인완료,2022-12-26 00:00,2022-12-26 00:00,2022-12-26 00:00,N
사회서비스형,2023-12539,1,2023,우리두리,승인완료,2023-01-03 00:00,2023-01-03 00:00,2023-01-03 00:00,N
공익활동형,2023-10678,3,2023,공공의료 및 복지시설 봉사,승인완료,2023-01-23 00:00,2022-12-15 00:00,2022-12-15 00:00,N
공익활동형,2023-11290,1,2023,명동길거리가꿈이,승인완료,2022-12-19 00:00,2022-12-19 00:00,2022-12-23 00:00,N
공익활동형,2023-48754,2,2023,시니어순환자원매니저,승인완료,2023-07-17 00:00,2023-06-12 00:00,2023-02-13 00:00,N
공익활동형,2023-10927,2,2023,생활시설 도우미,삭제요청,2023-01-26 00:00,2022-12-16 00:00,2022-12-16 00:00,Y
공익활동형,2023-61861,1,2023,시니어 폐건전지 수거 활성화 사업단,승인완료,2023-03-20 00:00,2023-03-20 00:00,2023-03-30 00:00,N
사회서비스형,2023-10895,4,2023,공공행정업무지원,승인완료,2023-02-13 00:00,2023-02-10 00:00,2022-12-21 00:00,N
공익활동형,2023-11177,2,2023,스쿨존교통지원봉사,승인완료,2023-01-04 00:00,2022-12-20 00:00,2022-12-19 00:00,N
공익활동형,2023-10829,1,2023,학교환경지킴이,승인완료,2022-12-15 00:00,2022-12-15 00:00,2022-12-15 00:00,N
사회서비스형,2023-10588,2,2023,보육시설지원(보둠이),승인완료,2022-12-19 00:00,2022-12-19 00:00,2022-12-24 00:00,N
공익활동형,2023-10669,4,2023,놀이터안전지킴이,승인완료,2023-05-16 00:00,2023-05-15 00:00,2022-12-15 00:00,N
공익활동형,2023-10827,4,2023,공원깔끄미,승인완료,2023-04-04 00:00,2022-12-15 00:00,2022-12-15 00:00,N
