사업유형,사업번호,사업계획변경순번,사업년도,계속사업여부,계속사업시작연도,사업유형코드,비예산여부,특수사업명코드,사업명,관활시도명,시군구코드,관할시군구,기관ID,수행기관시도명,수행기관시군구,사업기간시작일,사업기간종료일,사업계획서상태코드,목표일자리수,최초등록첨부파일,최근승인첨부파일,삭제여부
시장형,2022-11398,3,2022,N,2022,기타(E-11),N,105001,금빛시니어상회,충청남도,4471000000,금산군,490083,충청남도,금산군,2022-01-03,2022-12-30,승인완료,12,2022년 시장형 사업계획서(금빛시니어상회)_12석.hwp,2022년 시장형 사업계획서(금빛시니어상회)_12석_0510.hwp,N
사회서비스형,2022-11420,5,2022,Y,2019,노인 관련 시설지원(B-07),N,105001,공공시설도우미,경상남도,4812000000,창원시,643,경상남도,창원시,2022-01-01,2022-12-30,승인완료,20,2022년 사회서비스형 사업계획.hwp,2022년 사회서비스형 사업계획서 (1219).hwp,N
시장형,2022-11428,8,2022,N,2022,카페(E-08),N,105001,머무름(실버카페),경상남도,4884000000,남해군,510084,경상남도,남해군,2022-01-10,2022-12-31,승인완료,15,2022년 시장형사업단 사업계획서(카페).hwp,2022년+시장형사업단+사업계획서(머무름)- 결산추경(안).hwp,N
공익활동형,2022-11429,1,2022,Y,2020,공원 놀이터 등 공공시설 봉사(A-13),N,105001,행복클린워크,경기도,4167000000,여주시,229084,경기도,여주시,2022-02-01,2022-12-31,승인완료,20,2022년 공익활동 사업계획서(행복클린워크).hwp,,N
공익활동형,2022-11434,2,2022,Y,2020,학교급식 지원봉사(A-07),N,105001,영양사랑봉사단,경기도,4163000000,양주시,225083,경기도,양주시,2022-01-10,2022-12-20,승인완료,128,22년 영양사랑 사업계획서.hwp,22년+영양사랑+사업계획서(최종)11월.hwp,N
공익활동형,2022-11440,5,2022,Y,2014,스쿨존교통지원 봉사(A-08),N,105001,시니어순찰대,부산광역시,2623000000,부산진구,2613,부산광역시,부산진구,2022-01-17,2022-12-31,승인완료,420,2022년+시니어순찰대+사업계획서+(3).hwp,★2022년+시니어순찰대+사업계획서+(4) 수정.hwp,N
사회서비스형,2022-10892,2,2022,N,2022,장애인 서비스 지원(B-06),N,105001,해피니스사업단,경상북도,4772000000,군위군,1504,경상북도,군위군,2022-01-01,2022-12-30,승인완료,6,B-6)장애인서비스지원(수정).hwp,,N
사회서비스형,2022-10917,1,2022,Y,2021,안전관리지원(B-10),N,105001,몰카감시단사업,경상북도,4784000000,성주군,479,경상북도,성주군,2022-01-03,2022-10-31,임시,20,2022년+사회서비스형+몰카사업계획서-최종본.hwp,,Y
공익활동형,2022-11464,1,2022,Y,2022,기타(A-19),N,105001,학교 화장실 청소 도우미,전라남도,4679000000,화순군,385,전라남도,화순군,2022-01-01,2022-12-31,승인완료,17,사업계획서(학교화장실).hwp,,N
공익활동형,2022-11465,6,2022,N,2022,공원 놀이터 등 공공시설 봉사(A-13),N,105001,우리동네 시설관리,부산광역시,2623000000,부산진구,2613,부산광역시,부산진구,2022-01-10,2022-12-30,승인완료,215,최종2022년+우리동네+시설관리사업단+사업계획서+(1).hwp,2022년 우리동네 시설관리사업단 사업계획서(2022.08.03).hwp,N
공익활동형,2022-11466,1,2022,N,2022,지역사회안전망 구축 지원(A-18),N,105001,불법촬영예방사업,대전광역시,3017000000,서구,55,대전광역시,서구,2022-01-17,2022-12-30,승인완료,38,2022년 불법촬영예방사업 사업계획서 .hwp,,N
공익활동형,2022-11181,1,2022,Y,2022,보육시설 봉사(A-10),N,105001,노인공익활동사업 보육시설도우미,전라북도,4572000000,진안군,898,전라북도,진안군,2022-01-03,2022-11-30,임시,16,2022년 보육시설 사업계획서.hwp,,Y
공익활동형,2022-11430,1,2022,Y,2020,기타(A-19),N,105001,행복녹색가게,경기도,4167000000,여주시,229084,경기도,여주시,2022-02-01,2022-12-31,승인완료,15,2022년 공익활동 사업계획서(행복녹색가게).hwp,,N
사회서비스형,2022-10728,2,2022,Y,2022,시니어 컨설턴트(B-11),N,105001,시니어컨설턴트,전라북도,4511000000,전주시,2775,전라북도,전주시,2022-01-10,2022-12-16,승인완료,30,2022시니어컨설턴트1208.hwp,,N
공익활동형,2022-11487,1,2022,Y,2022,공원 놀이터 등 공공시설 봉사(A-13),N,105001,얼쑤버스로드사업단,부산광역시,2626000000,동래구,2777,부산광역시,동래구,2022-01-03,2022-12-30,승인완료,100,2022년 사업계획서(버스)100명.hwp,,N
공익활동형,2022-11489,2,2022,Y,2022,지역사회안전망 구축 지원(A-18),N,105001,스쿨존안전지킴이사업단,부산광역시,2626000000,동래구,2777,부산광역시,동래구,2022-01-07,2022-12-31,승인완료,130,2022년 스쿨존안전지킴이+사업계획서.hwp,,N
사회서비스형,2022-09888,3,2022,Y,2021,안전관리지원(B-10),N,105001,시니어안전모니터링,경기도,4115000000,의정부시,81,경기도,의정부시,2022-02-01,2022-12-07,승인완료,10,사형 모니터링.hwp,,N
공익활동형,2022-09901,2,2022,Y,2018,지역사회 환경개선 봉사(A-16),N,105001,지역환경개선1,세종특별자치시,3611000000,세종시,498,세종특별자치시,세종시,2022-02-01,2022-12-31,승인완료,160,(세종시노인회)2022년 노인 공익활동 사업계획서(지역환경개선1).hwp,(세종시노인회)2022년 노인 공익활동 사업계획서 변경_11.18_(지역환경개선1).hwp,N
사회서비스형,2022-09905,4,2022,Y,2019,시니어 컨설턴트(B-11),N,105001,시니어 컨설턴트,경기도,4128000000,고양시,4116,경기도,고양시,2022-03-01,2022-12-31,승인완료,3,사회서비스형_시니어컨설턴트(2022)_수정중.hwp,,N
사회서비스형,2022-09954,1,2022,Y,2021,취약계층 공익증진 서비스(B-09),N,105001,치매안심서비스사업,경상남도,4889000000,합천군,135085,경상남도,합천군,2022-01-03,2022-10-31,임시,7,2022년+치매안심서비스사업계획서.hwp,,Y
사회서비스형,2022-10536,5,2022,N,2022,공공행정업무지원(B-12),N,105001,소방안전지킴이,경상남도,4884000000,남해군,510084,경상남도,남해군,2022-01-10,2022-12-30,승인완료,8,사회서비스형(소방안전지킴이).hwp,6.소방안전지킴이(추경).hwp,N
사회서비스형,2022-10545,1,2022,Y,2022,보육시설(어린이집 등) 지원(B-01),N,105001,사회서비스형(보육시설 지원),전라북도,4513000000,군산시,2251,전라북도,군산시,2022-02-01,2022-11-30,임시,185,2022년 사회서비스형 사업계획서(보육시설).hwp,,Y
공익활동형,2022-10557,6,2022,Y,2007,노노케어(A-01),N,105001,노노케어,전라북도,4571000000,완주군,1024,전라북도,완주군,2022-01-01,2022-12-31,승인완료,10,2022년 노인 공익활동 사업계획서(새누리).hwp,2022년 노인 공익활동 사업계획서(새누리).hwp,N
사회서비스형,2022-10558,1,2022,Y,2022,공공행정업무지원(B-12),N,105001,사회서비스형(공공행정업무지원),전라북도,4513000000,군산시,2251,전라북도,군산시,2022-02-01,2022-11-30,임시,37,2022년 사회서비스형 사업계획서(공공행정).hwp,,Y
공익활동형,2022-10565,3,2022,Y,2021,학교급식 지원봉사(A-07),N,105001,학교급식 지원 봉사,전라북도,4513000000,군산시,2251,전라북도,군산시,2022-01-17,2022-12-30,승인완료,150,2022년+공익형사업단+사업계획서(학교급식지원).hwp,변경++2022년+공익형사업단+사업계획서(학교급식지원).hwp,N
사회서비스형,2022-10566,2,2022,Y,2020,노인맞춤돌봄서비스 지원(B-08),N,105001,노인맞춤돌봄서비스지원,인천광역시,2824500000,계양구,6066,인천광역시,계양구,2022-01-17,2022-12-30,승인완료,39,노인맞춤돌봄서비스지원.hwp,,N
사회서비스형,2022-10610,4,2022,Y,2019,온종일돌봄 시설 지원(B-02),N,105001,지역아동센터지원,경상남도,4812000000,창원시,2710,경상남도,창원시,2022-01-01,2022-12-31,승인완료,56,2022년 지역아동센터지원 사업계획서(완).hwp,2022년 지역아동센터지원 사업계획서(12.06).hwp,N
사회서비스형,2022-10639,1,2022,Y,2020,온종일돌봄 시설 지원(B-02),N,105001,복지시설도우미(아동),경기도,4167000000,여주시,25083,경기도,여주시,2022-03-01,2022-12-30,임시,26,2022년 사회서비스형 복지시설 도우미(아동).hwp,,Y
사회서비스형,2022-10796,1,2022,Y,2021,취약계층 공익증진 서비스(B-09),N,105001,시니어소비자지킴이 사업,경기도,4111000000,수원시,2015,경기도,수원시,2022-02-01,2022-12-31,승인완료,30,2022년 소비자피해 지킴이 사업계획서.hwp,,N
사회서비스형,2022-10808,3,2022,N,2022,미디어 전문서비스(B-13),N,105001,미디어 전문서비스,경기도,4129000000,과천시,1167,경기도,과천시,2022-02-01,2022-11-30,승인완료,6,2022년 사회서비스형_미디어 전문서비스_사업계획서.hwp,2022년 사회서비스형_미디어 전문서비스_사업계획서0317.hwp,N
공익활동형,2022-10974,1,2022,Y,2022,지역사회 환경개선 봉사(A-16),N,105001,실버환경지킴이,부산광역시,2614000000,서구,225,부산광역시,서구,2022-01-03,2022-11-30,승인완료,150,2022년+사업계획서+실버환경지킴이.hwp,,N
공익활동형,2022-11033,1,2022,Y,2019,공원 놀이터 등 공공시설 봉사(A-13),N,105001,공공체육시설관리지원사업,부산광역시,2653000000,사상구,2634,부산광역시,사상구,2022-01-03,2022-12-28,승인완료,40,2022년+공공체육시설관리지원사업+사업계획서.hwp,,N
공익활동형,2022-10634,1,2022,Y,2019,지역사회 환경개선 봉사(A-16),N,105001,우리마을가꾸기1,경기도,4167000000,여주시,25083,경기도,여주시,2022-02-01,2022-12-31,승인완료,208,2022년 우리마을가꾸기1사업계획서.hwp,,N
공익활동형,2022-10690,3,2022,Y,2022,공원 놀이터 등 공공시설 봉사(A-13),N,105001,마을경로당관리,전라남도,4689000000,완도군,573,전라남도,완도군,2022-02-01,2022-12-31,승인완료,150,2022년 마을경로당관리 2.hwp,2022년 마을경로당관리 2.hwp,N
공익활동형,2022-10701,3,2022,Y,2022,지역사회 환경개선 봉사(A-16),N,105001,아름다운 마을 가꾸기,전라남도,4689000000,완도군,573,전라남도,완도군,2022-02-01,2022-12-31,승인완료,167,2022년아름다운 마을가꾸기 2.hwp,2022년아름다운 마을가꾸기 2.hwp,N
공익활동형,2022-10708,1,2022,N,2022,공공의료 및 복지시설 봉사(A-15),N,105001,수호천사 보듬이(복지시설),전라북도,4511000000,전주시,745,전라북도,전주시,2022-01-10,2022-12-16,승인완료,70,2022년+노인+공익활동+사업계획서(복지시설 봉사).hwp,,N
공익활동형,2022-11228,2,2022,Y,2020,공원 놀이터 등 공공시설 봉사(A-13),N,105001,실버안심도우미,충청남도,4480000000,홍성군,113,충청남도,홍성군,2022-02-01,2022-12-23,승인완료,40,3. 2022년 실버안심도우미 사업계획서.hwp,3. 2022년 실버안심도우미 사업계획서(변경-7. 8.).hwp,N
사회서비스형,2022-11251,2,2022,N,2022,공공행정업무지원(B-12),N,105001,우체국 행정지원,경상남도,4873000000,함안군,517083,경상남도,함안군,2022-01-03,2022-12-31,승인완료,15,2022년 우체국행정지원 사업계획 (2).hwp,,N
시장형,2022-10262,5,2022,Y,2016,기타(E-19),N,105001,실버마을작업장사업,부산광역시,2647000000,연제구,700,부산광역시,연제구,2022-01-03,2022-12-31,승인완료,60,2022년 실버마을작업장사업단 사업계획서(부산연제시니어클럽).hwp,2022년+실버마을작업장사업단+사업계획서(부산연제시니어클럽) 변경계획.hwp,N
시장형,2022-10309,3,2022,Y,2014,음식점(E-09),N,105001,삼천냥해장국,강원도,4273000000,횡성군,1758,강원도,횡성군,2022-01-01,2022-12-31,승인완료,20,2022년 사업계획서 3호점_삼천냥해장국(20명).hwp,2022년+사업계획서+3호점_삼천냥해장국(20명)+기능보강.hwp,N
공익활동형,2022-10322,1,2022,Y,2022,공공의료 및 복지시설 봉사(A-15),N,105001,지역복지시설지원사업,전라북도,4513000000,군산시,1116,전라북도,군산시,2022-01-04,2022-11-30,승인완료,30,(동부)2022년 사업게획서_m.hwp,,N
사회서비스형,2022-11858,2,2022,Y,2022,보육시설(어린이집 등) 지원(B-01),N,105001,보육시설지원,전라남도,4688000000,장성군,393,전라남도,장성군,2022-02-03,2022-12-20,승인완료,24,2022년+사회서비스형+사업계획서(보육시설지원).hwp,,N
공익활동형,2022-11231,4,2022,N,2022,문화재시설 봉사(A-14),N,105001,함안사적관리봉사,경상남도,4873000000,함안군,517083,경상남도,함안군,2022-01-03,2022-12-31,승인완료,145,2022년 노인 공익활동 사적관리사업계획서.hwp,,N
공익활동형,2022-11240,2,2022,N,2022,지역사회안전망 구축 지원(A-18),N,105001,시니어 교통안전단,부산광역시,2614000000,서구,153,부산광역시,서구,2022-01-03,2022-12-31,승인완료,30,(22)시니어 교통안전단_사업계획서.hwp,(22)시니어교통안전단_사업계획서 예산변경.hwp,N
공익활동형,2022-11299,2,2022,Y,2022,경륜전수 활동(A-23),N,105001,짚공예 전승반,전라남도,4690000000,진도군,395,전라남도,진도군,2022-01-12,2022-12-30,승인완료,17,짚공예전승반 사업계획서.hwp,22년+(인원변경)짚공예전승반+사업계획서.hwp,N
공익활동형,2022-10187,2,2022,Y,2022,노노케어(A-01),N,105001,노노케어,부산광역시,2626000000,동래구,830,부산광역시,동래구,2022-01-03,2022-12-30,승인완료,160,22년 노노케어 계획서.hwp,22년 노노케어계획서(12.16).hwp,N
시장형,2022-10261,3,2022,Y,2022,기타(E-19),N,105001,청소지원사업,부산광역시,2647000000,연제구,700,부산광역시,연제구,2022-01-18,2022-12-31,승인완료,62,2022년+청소지원사업+사업계획서(60명)- 1차.hwp,2022년청소지원사업사업계획서(62명)계획변경 (1.28).hwp,N
사회서비스형,2022-10272,5,2022,Y,2021,안전관리지원(B-10),N,105001,실버안전모니터링사업(前 경로당환경개선사업),부산광역시,2647000000,연제구,700,부산광역시,연제구,2022-01-03,2022-12-31,승인완료,20,2022년 경로당환경개선사업 사업계획서(10명).hwp,2022년 실버안전모니터링사업(前 경로당환경개선사업) 사업계획서(20명).hwp,N
사회서비스형,2022-11323,2,2022,Y,2022,청소년 시설 지원(B-03),N,105001,청소년시설지원,전라남도,4672000000,곡성군,1062,전라남도,곡성군,2022-02-01,2022-11-30,승인완료,4,청소년시설지원...hwp,,N
공익활동형,2022-11339,2,2022,Y,2021,공공의료 및 복지시설 봉사(A-15),N,105001,취약계층식사지원,강원도,4278000000,철원군,323,강원도,철원군,2022-01-24,2022-11-30,삭제요청,115,2022년 취약.hwp,,Y
공익활동형,2022-11341,1,2022,Y,2014,공원 놀이터 등 공공시설 봉사(A-13),N,105001,학교시설관리지원,강원도,4278000000,철원군,323,강원도,철원군,2022-01-24,2022-12-31,승인완료,77,2022년 학교시설.hwp,,N
공익활동형,2022-11346,2,2022,N,2022,기타(A-19),N,105001,재활용품 거점수거장지원,전라남도,4672000000,곡성군,381,전라남도,곡성군,2022-01-11,2022-12-30,승인완료,4,2022년 공익활동 사업계획서(재활용품 거점수거장 지원)-신규.hwp,2022년 공익활동 사업계획서(재활용품 거점수거장 지원)-신규.hwp,N
공익활동형,2022-11406,2,2022,N,2022,청소년선도 봉사(A-05),N,105001,K-희망지킴이,전라북도,4513000000,군산시,516083,전라북도,군산시,2022-01-03,2022-12-27,승인완료,30,2. K-희망지킴이.hwp,K-희망지킴이.hwp,N
시장형,2022-11407,3,2022,Y,2021,기타(E-19),N,105001,토이케어 등 교육환경개선사업,서울특별시,1114000000,중구,2538,서울특별시,중구,2022-01-01,2022-12-31,변경심사요청,25,2022년 시장형 사업계획서(토이케어).hwp,,N
사회서비스형,2022-11443,3,2022,N,2022,보육시설(어린이집 등) 지원(B-01),N,105001,돌봄시설도우미,인천광역시,2824500000,계양구,6066,인천광역시,계양구,2022-01-17,2022-12-30,승인완료,10,돌봄시설도우미.hwp,,N
공익활동형,2022-11451,6,2022,N,2022,지역사회안전망 구축 지원(A-18),N,105001,스쿨존안전지킴이사업단,부산광역시,2623000000,부산진구,2613,부산광역시,부산진구,2022-01-10,2022-12-30,승인완료,236,(1213)2022년+스쿨존+안전+지킴이+사업계획서.hwp,221018스쿨존안전지킴이사업계획서.hwp,N
공익활동형,2022-11454,2,2022,N,2022,공공의료 및 복지시설 봉사(A-15),N,105001,의성경로당깔끄미,경상북도,4773000000,의성군,1748,경상북도,의성군,2022-01-03,2022-12-31,승인완료,156,2022년의성경로당깔끔이사업계획서.hwp,2022년의성경로당깔끔이사업계획서(수정).hwp,N
사회서비스형,2022-11456,2,2022,Y,2022,온종일돌봄 시설 지원(B-02),N,105001,지역아동센터지원,전라남도,4679000000,화순군,385,전라남도,화순군,2022-01-01,2022-12-31,승인완료,35,사업계획서(지역아동).hwp,,N
공익활동형,2022-10954,1,2022,Y,2021,스쿨존교통지원 봉사(A-08),N,105001,스쿨존교통지원사업,부산광역시,2653000000,사상구,2634,부산광역시,사상구,2022-01-03,2022-12-28,승인완료,210,2022년 스쿨존교통지원사업 계획서.hwp,,N
사회서비스형,2022-10962,1,2022,N,2022,노인 관련 시설지원(B-07),N,105001,노인관련시설지원,경상남도,4873000000,함안군,517083,경상남도,함안군,2022-01-03,2022-10-31,임시,17,2022년 노인관련시설 사업계획서.hwp,,Y
시장형,2022-11094,5,2022,Y,2007,기타(E-07),N,105001,쇼핑백사업,충청남도,4476000000,부여군,169,충청남도,부여군,2022-01-03,2022-12-31,승인완료,35,2022년+쇼핑백사업단+사업계획서.hwp,2022년+쇼핑백사업단+변경사업계획서.hwp,N
사회서비스형,2022-11134,4,2022,N,2022,보육시설(어린이집 등) 지원(B-01),N,105001,보육교사도우미,경기도,4129000000,과천시,1167,경기도,과천시,2022-02-03,2022-12-31,승인완료,16,2022년+사회서비스형(보육교사도우미)+사업계획서.hwp,2022년+사회서비스형(보육교사도우미)+사업계획서.hwp,N
공익활동형,2022-11469,3,2022,N,2022,지역사회 환경개선 봉사(A-16),N,105001,자전거도로 환경지킴이 봉사단,경기도,4163000000,양주시,356084,경기도,양주시,2022-01-01,2022-12-31,승인완료,100,2022년 공익활동3+자전거도로환경지킴이봉사단_20211213.hwp,자전거도로 사업계획수정0124.hwp,N
사회서비스형,2022-11471,2,2022,Y,2022,보육시설(어린이집 등) 지원(B-01),N,105001,스마일사업단,경기도,4163000000,양주시,356084,경기도,양주시,2022-02-01,2022-11-30,승인완료,68,(수정)2022년 사서1+스마일사업단 사업계획서_20211213.hwp,스마일 사업계획.hwp,N
사회서비스형,2022-11473,2,2022,N,2022,공공행정업무지원(B-12),N,105001,석유에너지파수꾼사업,광주광역시,2915500000,남구,159,광주광역시,남구,2022-02-01,2022-11-30,승인완료,4,2022년 석유에너지 파수꾼.pdf,2022년 석유에너지 파수꾼사업계획서.hwp,N
공익활동형,2022-11474,3,2022,N,2022,노노케어(A-01),N,105001,노노케어,경기도,4163000000,양주시,225083,경기도,양주시,2022-01-10,2022-12-20,승인완료,147,22공익활동사업계획서(노노해피케어) ( 최종).hwp,22공익활동사업계획서(노노해피케어)+(+최종) (3).hwp,N
시장형,2022-11475,4,2022,N,2022,카페(E-08),N,105001,카페 나누다(茶),서울특별시,1123000000,동대문구,342083,서울특별시,동대문구,2022-06-13,2022-12-30,승인완료,20,2022년시장형사업계획서(카페+나누다) 수정본.hwp,2022년시장형사업계획서(카페+나누다) 수정본(최종)_추경(최종).hwp,N
시장형,2022-11455,1,2022,N,2022,음식점(E-09),N,105001,참새방앗간,충청남도,4480000000,홍성군,1537,충청남도,홍성군,2022-01-01,2022-12-31,임시,5,10 2022시장형 참새방앗간1.hwp,,Y
사회서비스형,2022-11322,3,2022,Y,2019,보육시설(어린이집 등) 지원(B-01),N,105001,보육시설(어린이집등)지원,전라남도,4672000000,곡성군,1062,전라남도,곡성군,2022-02-01,2022-11-30,승인완료,35,보육시설(어린이집등)지원.hwp,보육시설(어린이집등)지원 - 35명.hwp,N
시장형,2022-11502,4,2022,Y,2015,아파트 택배(E-13),N,105001,다이나믹6070택배사업단,부산광역시,2626000000,동래구,2777,부산광역시,동래구,2022-01-03,2022-12-31,승인완료,20,2022년+시장형사업단+사업계획서(택배)(20명).hwp,,N
시장형,2022-11505,3,2022,N,2022,아파트 택배(E-13),N,105001,아파트택배사업(띵동시니어2),서울특별시,1123000000,동대문구,342083,서울특별시,동대문구,2022-09-01,2022-12-30,승인완료,8,2022년시장형운영규정(찬나누리).hwp,시장형 사업계획안(아파트택배) 수정5 예산변경.hwp,N
시장형,2022-11508,2,2022,Y,2022,기타(E-19),N,105001,소래포구전통어시장환경정비,인천광역시,2820000000,남동구,1308,인천광역시,남동구,2022-01-01,2022-12-31,조건부승인,15,22-14. 2022년 사업계획서(소래포구전통어시장환경정비).hwp,,Y
시장형,2022-09983,2,2022,Y,2016,카페(E-08),N,105001,천연염색관나주손카페,전라남도,4617000000,나주시,2446,전라남도,나주시,2022-01-01,2022-12-31,승인완료,7,2022년+천연염색관나주손카페 (12.10.).hwp,2022년 천연염색관나주손카페(변경) 사업계획서.hwp,N
공익활동형,2022-10006,3,2022,N,2022,기타(A-19),N,105001,배움터지킴이,경기도,4128000000,고양시,231083,경기도,고양시,2022-01-01,2022-12-31,승인완료,14,2022년 공익활동 사업계획서 (배움터지킴이).hwp,,N
사회서비스형,2022-10035,1,2022,Y,2019,노인 관련 시설지원(B-07),N,105001,노인시설,전라북도,4514000000,익산시,508,전라북도,익산시,2022-01-01,2022-12-31,승인완료,40,2022년+노인시설+사업계획서.hwp,,N
공익활동형,2022-10105,2,2022,Y,2014,공공의료 및 복지시설 봉사(A-15),N,105001,복지시설 봉사활동,전라북도,4513000000,군산시,2655,전라북도,군산시,2022-01-03,2022-12-23,승인완료,120,2022년+노인+공익활동+사업계획서(복지시설)-이현옥(2021-1207-1750)-완.hwp,2022년+노인+공익활동+사업계획서(복지시설)-이현옥(2022-0415-1132)-완.hwp,N
시장형,2022-10580,1,2022,Y,2015,도시락 및 반찬류(E-03),N,105001,반찬제조 판매사업단(밥이랑찬이랑),전라북도,4513000000,군산시,2251,전라북도,군산시,2022-01-03,2022-12-31,승인완료,6,22년+사업계획서(밥이랑찬이랑).hwp,,N
공익활동형,2022-10603,3,2022,Y,2022,보육시설 봉사(A-10),N,105001,교육강사,부산광역시,2653000000,사상구,617,부산광역시,사상구,2022-01-01,2022-12-31,승인완료,15,2022년 공익활동 사업계획서 - 교육강사.hwp,,N
